Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Mike Woodson,ATL,4,4,82,37,45,328,106,222,328,106,222,0.323,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2008
Doc Rivers,BOS,4,9,82,66,16,328,168,160,667,339,328,0.508,26.0,16.0,10.0,33.0,19.0,14.0,48.0,24.0,24.0,2008
Sam Vincent,CHA,1,1,82,32,50,82,32,50,82,32,50,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Scott Skiles,CHI,5,8,25,9,16,337,165,172,532,281,251,0.528,0.0,0.0,0.0,22.0,10.0,12.0,35.0,15.0,20.0,2008
Pete Myers,CHI,2,2,1,0,1,3,0,3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Jim Boylan,CHI,1,1,56,24,32,56,24,32,56,24,32,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Mike Brown,CLE,3,3,82,45,37,246,145,101,246,145,101,0.589,13.0,7.0,6.0,46.0,26.0,20.0,46.0,26.0,20.0,2008
Avery Johnson,DAL,4,4,82,51,31,264,194,70,264,194,70,0.735,5.0,1.0,4.0,47.0,23.0,24.0,47.0,23.0,24.0,2008
George Karl,DEN,4,20,82,50,32,286,171,115,1493,879,614,0.589,4.0,0.0,4.0,19.0,3.0,16.0,145.0,62.0,83.0,2008
Flip Saunders,DET,3,13,82,59,23,246,176,70,983,587,396,0.597,17.0,10.0,7.0,51.0,30.0,21.0,98.0,47.0,51.0,2008
Don Nelson,GSW,9,29,82,48,34,701,367,334,2234,1280,954,0.573,0.0,0.0,0.0,35.0,14.0,21.0,166.0,75.0,91.0,2008
Rick Adelman,HOU,1,17,82,55,27,82,55,27,1315,807,508,0.614,6.0,2.0,4.0,6.0,2.0,4.0,144.0,72.0,72.0,2008
Jim O'Brien,IND,1,6,82,36,46,82,36,46,422,218,204,0.517,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,17.0,2008
Mike Dunleavy,LAC,5,15,82,23,59,410,175,235,1198,573,625,0.478,0.0,0.0,0.0,12.0,7.0,5.0,71.0,38.0,33.0,2008
Phil Jackson,LAL,8,17,82,57,25,656,431,225,1394,976,418,0.7,21.0,14.0,7.0,125.0,82.0,43.0,277.0,193.0,84.0,2008
Marc Iavaroni,MEM,1,1,82,22,60,82,22,60,82,22,60,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Pat Riley,MIA,11,24,82,15,67,849,454,395,1904,1210,694,0.636,0.0,0.0,0.0,70.0,34.0,36.0,282.0,171.0,111.0,2008
Larry Krystkowiak,MIL,2,2,82,26,56,100,31,69,100,31,69,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Randy Wittman,MIN,2,4,82,22,60,124,34,90,288,96,192,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Lawrence Frank,NJN,5,5,82,34,48,368,191,177,368,191,177,0.519,0.0,0.0,0.0,38.0,18.0,20.0,38.0,18.0,20.0,2008
Byron Scott,NOH,4,8,82,56,26,328,151,177,616,300,316,0.487,12.0,7.0,5.0,12.0,7.0,5.0,52.0,32.0,20.0,2008
Isiah Thomas,NYK,2,5,82,23,59,164,56,108,410,187,223,0.456,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,10.0,2008
Stan Van Gundy,ORL,1,4,82,52,30,82,52,30,267,164,103,0.614,10.0,5.0,5.0,10.0,5.0,5.0,38.0,22.0,16.0,2008
Maurice Cheeks,PHI,3,7,82,40,42,246,113,133,547,275,272,0.503,6.0,2.0,4.0,6.0,2.0,4.0,16.0,5.0,11.0,2008
Mike D'Antoni,PHO,5,6,82,55,27,389,253,136,439,267,172,0.608,5.0,1.0,4.0,51.0,26.0,25.0,51.0,26.0,25.0,2008
Nate McMillan,POR,3,8,82,41,41,246,94,152,641,306,335,0.477,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,8.0,2008
Reggie Theus,SAC,1,1,82,38,44,82,38,44,82,38,44,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Gregg Popovich,SAS,12,12,82,56,26,934,632,302,934,632,302,0.677,17.0,9.0,8.0,160.0,101.0,59.0,160.0,101.0,59.0,2008
P.J. Carlesimo,SEA,1,7,82,20,62,82,20,62,487,203,284,0.417,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0,2008
Sam Mitchell,TOR,4,4,82,41,41,328,148,180,328,148,180,0.451,5.0,1.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,2008
Jerry Sloan,UTA,20,23,82,54,28,1591,995,596,1806,1089,717,0.603,12.0,6.0,6.0,181.0,91.0,90.0,187.0,93.0,94.0,2008
Eddie Jordan,WAS,5,7,82,43,39,410,196,214,507,229,278,0.452,6.0,2.0,4.0,26.0,8.0,18.0,26.0,8.0,18.0,2008
