Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Mike Budenholzer,ATL,3,3,82,48,34,246,146,100,246,146,100,0.593,10.0,4.0,6.0,33.0,15.0,18.0,33.0,15.0,18.0
Brad Stevens,BOS,3,3,82,48,34,246,113,133,246,113,133,0.459,6.0,2.0,4.0,10.0,2.0,8.0,10.0,2.0,8.0
Lionel Hollins,BRK,2,9,37,10,27,119,48,71,534,262,272,0.491,0.0,0.0,0.0,6.0,2.0,4.0,41.0,20.0,21.0
Tony Brown,BRK,1,1,45,11,34,45,11,34,45,11,34,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred Hoiberg,CHI,1,1,82,42,40,82,42,40,82,42,40,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Clifford,CHO,3,3,82,48,34,246,124,122,246,124,122,0.504,7.0,3.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0
David Blatt,CLE,2,2,41,30,11,123,83,40,123,83,40,0.675,0.0,0.0,0.0,20.0,14.0,6.0,20.0,14.0,6.0
Tyronn Lue,CLE,1,1,41,27,14,41,27,14,41,27,14,0.659,21.0,16.0,5.0,21.0,16.0,5.0,21.0,16.0,5.0
Rick Carlisle,DAL,8,14,82,42,40,640,380,260,1132,661,471,0.584,5.0,1.0,4.0,58.0,28.0,30.0,120.0,58.0,62.0
Michael Malone,DEN,1,3,82,33,49,82,33,49,188,72,116,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stan Van Gundy,DET,2,10,82,44,38,164,76,88,743,447,296,0.602,4.0,0.0,4.0,4.0,0.0,4.0,91.0,48.0,43.0
Steve Kerr,GSW,2,2,82,73,9,164,140,24,164,140,24,0.854,24.0,15.0,9.0,45.0,31.0,14.0,45.0,31.0,14.0
