Player,Salary,Year
Kobe Bryant,23500000,2015
Joe Johnson,23180790,2015
Carmelo Anthony,22458401,2015
Amare Stoudemire,21896658,2015
Dwight Howard,21436271,2015
Chris Bosh,20644400,2015
LeBron James,20644400,2015
Chris Paul,20068563,2015
Kevin Durant,19997513,2015
Deron Williams,19754465,2015
Rudy Gay,19317326,2015
Derrick Rose,18862876,2015
Blake Griffin,17632688,2015
Carlos Boozer,16800000,2015
Zach Randolph,16500000,2015
Marc Gasol,15829688,2015
Paul George,15800000,2015
Kevin Love,15719063,2015
Russell Westbrook,15719062,2015
Brook Lopez,15719000,2015
LaMarcus Aldridge,15200000,2015
David Lee,15012000,2015
Dwyane Wade,15000000,2015
Josh Smith,14945778,2015
Omer Asik,14898938,2015
Eric Gordon,14898938,2015
Jeremy Lin,14898938,2015
Roy Hibbert,14898938,2015
Gordon Hayward,14746000,2015
Chandler Parsons,14700000,2015
James Harden,14693906,2015
Tyson Chandler,14596888,2015
Brandon Roy,14399332,2015
John Wall,13701250,2015
DeMarcus Cousins,13701250,2015
Al Jefferson,13500000,2015
Nenê,13000000,2015
Eric Bledsoe,13000000,2015
Andrew Bogut,12972973,2015
Derrick Favors,12950000,2015
Rajon Rondo,12909090,2015
Joakim Noah,12700000,2015
Tony Parker,12500000,2015
Andre Iguodala,12289544,2015
Serge Ibaka,12250000,2015
Nikola Pekovic,12100000,2015
Kyle Lowry,12000000,2015
Andrea Bargnani,12000000,2015
Kevin Garnett,12000000,2015
David West,12000000,2015
Al Horford,12000000,2015
Ty Lawson,11595506,2015
DeAndre Jordan,11440123,2015
Nicolas Batum,11390500,2015
Tyreke Evans,11265416,2015
JaVale McGee,11250000,2015
Jrue Holiday,11000000,2015
Larry Sanders,11000000,2015
Danilo Gallinari,10854850,2015
Stephen Curry,10629213,2015
Marcin Gortat,10434782,2015
Tim Duncan,10361446,2015
Gerald Wallace,10105855,2015
Anderson Varejao,9800000,2015
Brendan Haywood,9798000,2015
Luol Deng,9714461,2015
Steve Nash,9701000,2015
Kendrick Perkins,9588889,2015
DeMar DeRozan,9500000,2015
Paul Millsap,9500000,2015
Tyrus Thomas,9460664,2015
Mike Miller,9332000,2015
Tiago Splitter,9250000,2015
Jeff Green,9200000,2015
Thaddeus Young,9160870,2015
Jordan Hill,9000000,2015
Lance Stephenson,9000000,2015
Mike Conley,8760000,2015
Monta Ellis,8720000,2015
Marcus Thornton,8697500,2015
Trevor Ariza,8600000,2015
