Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,All-Star Post,Margin â¤3,Margin â¥10,Month Dec,Month Jan,Month Feb,Month Mar,Month Apr,Temp_Col
1,Chicago Bulls,50-16,26-7,24-9,38-10,6-Dec,13-4,13-1,5-Dec,3-Feb,1-May,2-May,27-8,23-8,2-May,31-8,1-Mar,15-4,3-Nov,13-3,5-Aug,5-Aug
2,San Antonio Spurs,50-16,28-5,22-11,15-3,35-13,Jun-00,2-Apr,1-May,6-Oct,13-3,4-Dec,24-10,26-6,4-May,31-7,1-Mar,8-Oct,2-Nov,3-Dec,14-2,14-2
3,Oklahoma City Thunder,47-19,26-7,21-12,13-5,34-14,Jun-00,2-Mar,3-Apr,3-Oct,5-Dec,6-Dec,27-7,20-12,4-May,27-5,May-00,4-Nov,3-Dec,5-Nov,7-Aug,7-Aug
4,Miami Heat,46-20,28-5,18-15,35-13,7-Nov,14-3,5-Dec,5-Sep,3-Mar,3-Mar,1-May,27-7,19-13,2-Jun,29-10,Apr-00,5-Dec,2-Nov,6-Oct,7-Sep,7-Sep
5,Indiana Pacers,42-24,23-10,19-14,29-19,13-5,7-Nov,4-Sep,8-Sep,1-May,2-Apr,2-Apr,21-12,21-12,3-Apr,21-12,1-Mar,5-Nov,6-Aug,9-Aug,3-Dec,3-Dec
6,Los Angeles Lakers,41-25,26-7,15-18,9-Sep,32-16,2-May,4-Jan,3-Mar,6-Dec,5-Sep,5-Nov,20-14,21-11,4-Oct,10-Nov,2-Mar,7-Oct,5-Aug,6-Nov,5-Sep,5-Sep
7,Memphis Grizzlies,41-25,26-7,15-18,15-3,26-22,2-Apr,1-Jun,May-00,7-Oct,7-Sep,8-Jul,19-15,22-10,2-Jun,16-10,2-Jan,8-Oct,5-Sep,7-Aug,13-3,13-3
8,Atlanta Hawks,40-26,23-10,17-16,31-17,9-Sep,8-Sep,6-Nov,3-Nov,2-Apr,4-Mar,3-Feb,20-14,20-12,8-Jun,17-13,1-Mar,13-5,9-Apr,8-Nov,3-Sep,3-Sep
9,Los Angeles Clippers,40-26,24-9,16-17,7-Nov,29-19,3-Mar,3-Feb,1-Jun,7-Dec,7-Jul,5-Oct,20-11,20-15,6-Jul,17-7,2-Jan,4-Nov,6-Aug,9-Nov,5-Sep,5-Sep
10,Boston Celtics,39-27,24-9,15-18,32-16,11-Jul,6-Aug,8-Sep,15-2,3-Mar,4-Feb,4-Feb,15-17,24-10,5-Jun,19-11,3-Jan,7-Sep,7-Jul,5-Dec,5-Oct,5-Oct
