Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Boston Celtics,64-18,37-4,27-14,41-11,23-7,15-2,13-5,13-4,6-4,7-3,10-0,43-12,2024
2,Denver Nuggets,57-25,33-8,24-17,24-6,33-19,8-2,8-2,8-2,10-6,11-7,12-6,36-19,2024
3,Oklahoma City Thunder,57-25,33-8,24-17,21-9,36-16,6-4,6-4,9-1,12-4,11-7,13-5,37-17,2024
4,Minnesota Timberwolves,56-26,30-11,26-15,19-11,37-15,6-4,6-4,7-3,12-4,10-7,15-4,39-16,2024
5,Los Angeles Clippers,51-31,25-16,26-15,21-9,30-22,6-4,6-4,9-1,10-9,9-7,11-6,36-17,2024
6,Dallas Mavericks,50-32,25-16,25-16,19-11,31-21,6-4,3-7,10-0,10-9,10-7,11-5,32-23,2024
7,New York Knicks,50-32,27-14,23-18,35-17,15-15,12-5,11-7,12-5,5-5,6-4,4-6,33-22,2024
8,Milwaukee Bucks,49-33,31-11,18-22,34-18,15-15,12-6,10-7,12-5,4-6,5-5,6-4,35-21,2024
9,New Orleans Pelicans,49-33,21-19,28-14,19-11,30-22,8-2,5-5,6-4,9-8,12-7,9-7,33-22,2024
10,Phoenix Suns,49-33,25-16,24-17,20-10,29-23,4-6,8-2,8-2,12-5,9-9,8-9,33-22,2024
11,Cleveland Cavaliers,48-34,26-15,22-19,31-21,17-13,9-8,11-5,11-8,5-5,4-6,8-2,36-17,2024
12,Indiana Pacers,47-35,26-15,21-20,32-20,15-15,10-8,11-6,11-6,3-7,5-5,7-3,31-25,2024
13,Los Angeles Lakers,47-35,28-14,19-21,20-10,27-25,6-4,8-2,6-4,9-8,7-10,11-7,30-26,2024
14,Orlando Magic,47-35,29-12,18-23,32-20,15-15,9-8,14-5,9-7,7-3,2-8,6-4,30-25,2024
15,Philadelphia 76ers,47-35,25-16,22-19,31-21,16-14,8-8,8-9,15-4,6-4,4-6,6-4,32-22,2024
16,Miami Heat,46-36,22-19,24-17,32-20,14-16,8-10,11-7,13-3,3-7,5-5,6-4,30-25,2024
17,Golden State Warriors,46-36,21-20,25-16,20-10,26-26,7-3,5-5,8-2,9-10,7-9,10-7,27-26,2024
18,Sacramento Kings,46-36,24-17,22-19,16-14,30-22,5-5,5-5,6-4,12-5,10-7,8-10,31-23,2024
19,Houston Rockets,41-41,27-14,14-27,13-17,28-24,3-7,5-5,5-5,11-8,8-9,9-7,24-30,2024
20,Chicago Bulls,39-43,20-21,19-22,22-29,17-14,5-12,7-9,10-8,6-4,3-7,8-3,26-29,2024
21,Atlanta Hawks,36-46,21-20,15-26,22-30,14-16,8-11,6-11,8-8,4-6,4-6,6-4,24-31,2024
22,Brooklyn Nets,32-50,20-21,12-29,24-28,8-22,5-11,8-9,11-8,2-8,3-7,3-7,21-33,2024
23,Utah Jazz,31-51,21-20,10-31,15-15,16-36,5-5,5-5,5-5,5-11,3-15,8-10,26-30,2024
24,Memphis Grizzlies,27-55,9-32,18-23,13-18,14-37,3-7,6-5,4-6,2-16,4-13,8-8,20-36,2024
25,Toronto Raptors,25-57,14-27,11-30,18-34,7-23,1-15,8-9,9-10,1-9,2-8,4-6,19-36,2024
26,San Antonio Spurs,22-60,12-29,10-31,8-23,14-37,3-7,3-8,2-8,6-12,5-12,3-13,11-44,2024
27,Charlotte Hornets,21-61,11-30,10-31,14-38,7-23,4-14,4-14,6-10,3-7,1-9,3-7,13-41,2024
28,Portland Trail Blazers,21-61,11-30,10-31,13-17,8-44,5-5,5-5,3-7,1-15,2-16,5-13,15-39,2024
29,Washington Wizards,15-67,7-34,8-33,11-41,4-26,2-17,5-12,4-12,1-9,1-9,2-8,9-45,2024
30,Detroit Pistons,14-68,7-33,7-35,10-41,4-27,3-14,2-14,5-13,2-8,1-9,1-10,8-46,2024
